CountryName,CountryCode,StartDate,EndDate,PolicyType,PolicyValue,Flag,InitialNote
Algeria,DZA,20200305,20200413,H1: Public information campaigns,1,1,"""Health authorities have been calling on citizens to stick on prevention measures, including washing hands constantly, and taking necessary protection measures in case of travelling abroad to avoid contamination"" see: https://web.archive.org/web/20200501001516/http://www.xinhuanet.com/english/2020-03/05/c_138844004.htm "
Algeria,DZA,20200310,20200814,C3: Cancel public events,2,1,"The Algerian government announced on March 10 that political, economic, and cultural events/gatherings are canceled and spectators at sporting events banned.   Source: https://web.archive.org/web/20200407120001/https://www.garda.com/crisis24/news-alerts/321536/algeria-government-restricts-public-gatherings-nationwide-march-10-update-2    Starting 28 March, the government started lockdowns in different regions which culminated in nationwide lockdowns (partial lockdowns in some places) on 30 March. Public events continue to be banned.  Sources:  https://web.archive.org/web/20200426135406/https://www.garda.com/crisis24/news-alerts/328496/algeria-ongoing-restrictions-extended-through-april-19-update-9  https://web.archive.org/web/20200426135430/https://www.garda.com/crisis24/news-alerts/329476/algeria-curfew-extended-for-nine-provinces-april-5-update-10    On 18 April, it was announced that the nationwide curfew and lockdown measures will be extended till 29 April.   https://web.archive.org/web/20200426135524/https://www.garda.com/crisis24/news-alerts/333901/algeria-government-extends-lockdown-through-april-29-update-11 "
Algeria,DZA,20200312,20200831,C1: School closing,3,1,"""The President of the Republic Abdelmadjid Tebboune, following consultation with the ministers, ordered the closing of schools of primary, intermediate and secondary education as of Thursday 12 March 2020 until the end of spring holidays, on April 5th "" - See: https://web.archive.org/web/20200430215039/http://www.aps.dz/en/algeria/33572-coronavirus-president-tebboune-orders-all-schools-universities-closed"
Algeria,DZA,20200312,20200313,C8: International travel controls,1,,"Entry denied to people with symptoms    https://web.archive.org/web/20200330230505/https://data.humdata.org/dataset/acaps-covid19-government-measures-dataset"
Algeria,DZA,20200314,20200316,C8: International travel controls,3,,"Current policy still appears to be border closures with countries having Covid-19 cases. Air Algeria is not travelling. This in practice translates to full border closures given that most countries are affected. But no explicit announcement of full border closure. https://web.archive.org/web/20200425190100/https://www.observalgerie.com/covid-19-en-algerie-le-confinement-sera-prolonge-au-dela-du-29-avril/2020/; https://web.archive.org/save/https://www.aljazeera.com/news/2020/03/coronavirus-travel-restrictions-border-shutdowns-country-200318091505922.html"
Algeria,DZA,20200317,20210607,C8: International travel controls,4,,"President Abdelmadjid Tebboune announced in a televised speech on Tuesday, March 17, the closure of all land borders and the suspension of all air and maritime links - except for those transporting goods - to limit the spread of coronavirus (COVID-19).    The decision follows the announcement that all travel via air and sea to and from Europe will be suspended from Thursday, March 19. Air Algerie is scheduled to arrange flights for citizens returning from France. The airline will also temporary suspend its flight services to and from Tunis, Cairo, Dubai, Doha, and Amman from March 17. Prime Minister Abdelaziz Djerad had previously announced the suspension of flights to several African destinations including Senegal, Mali, Niger, Mauritania, Cote d'Ivoire, and Burkina Faso from March 19.    Link - http://web.archive.org/web/20200611151823/https://www.garda.com/crisis24/news-alerts/323986/algeria-government-closes-land-borders-and-suspends-air-and-sea-transport-due-to-covid-19-march-17-update-6"
Algeria,DZA,20200322,20210301,H2: Testing policy,1,,"Although I cannot find any specific testing policy, the government have spent $100mn on more testing devices, and case numbers were quickly rising, so I assume from this point at least a 1 for testing policy.    https://web.archive.org/web/20200509150237/http://www.premier-ministre.gov.dz/fr/premier-ministre/activites/com-22-03-2020-fr.html"
Algeria,DZA,20200323,20200329,C2: Workplace closing,2,1,"""Algerian government sent 50% of the work force on paid leave for two weeks, ordering them to stay in their homes. See: https://web.archive.org/web/20200330222657/https://www.bbc.co.uk/news/topics/cp7r8vglgyet/algeria"
Algeria,DZA,20200323,20200613,C5: Close public transport,2,1,"Algerian government closes public transport across the country   - see: https://web.archive.org/web/20200430234801/https://nationalpost.com/pmn/health-pmn/algeria-set-to-suspend-public-transport-close-cafes-and-restaurants   https://web.archive.org/web/20200501000025/https://english.alarabiya.net/en/News/north-africa/2020/03/20/Coronavirus-Algeria-suspends-public-transport-closes-cafes-and-restaurants"
Algeria,DZA,20200323,20200423,C6: Stay at home requirements,3,0,"On Monday, March 23, President Abdelmadjid Tebboune announced a full lockdown for the Wilayat of Blida and a partial lockdown for the capital Algiers amid the coronavirus (COVID-19) pandemic.  In Blida, residents are to remain home for ten days, with few exceptions, all of which must be cleared by authorities.  Source: https://web.archive.org/web/20200509144659/https://www.garda.com/crisis24/news-alerts/325896/algeria-government-implements-lockdown-and-curfew-in-blida-and-algiers-march-23-update-7"
Algeria,DZA,20200323,20200423,C7: Restrictions on internal movement,2,0,"On Monday, March 23, President Abdelmadjid Tebboune announced a full lockdown for the Wilayat of Blida and a partial lockdown for the capital Algiers amid the coronavirus (COVID-19) pandemic.  Checkpoints were placed in the four corners of the Wilayat so that no one could leave or enter Blida.  Source: https://web.archive.org/web/20200509144659/https://www.garda.com/crisis24/news-alerts/325896/algeria-government-implements-lockdown-and-curfew-in-blida-and-algiers-march-23-update-7"
Algeria,DZA,20200323,20200423,H8: Protection of elderly people,3,0,"On Monday, March 23, President Abdelmadjid Tebboune announced a full lockdown for the Wilayat of Blida and a partial lockdown for the capital Algiers amid the coronavirus (COVID-19) pandemic.  In Blida, residents are to remain home for ten days, with few exceptions, all of which must be cleared by authorities.    Source: https://web.archive.org/web/20200509144659/https://www.garda.com/crisis24/news-alerts/325896/algeria-government-implements-lockdown-and-curfew-in-blida-and-algiers-march-23-update-7"
Algeria,DZA,20200330,20200423,C2: Workplace closing,3,0,"""On Monday, March 23, President Abdelmadjid Tebboune announced a full lockdown for the Wilayat of Blida and a partial lockdown for the capital Algiers amid the coronavirus (COVID-19) pandemic. In Blida, residents are to remain home for ten days, with few exceptions, all of which must be cleared by authorities. Checkpoints will be placed in the four corners of the Wilayat and no one may leave or enter Blida. In Algiers, a curfew has been implemented from 19:00 to 07:00 (local time), and gatherings greater than two people are prohibited. Food stores are allowed to remain open in rotation, though crowds must be avoided in the shops. The military is to be dispatched to both Algiers and Blida in order to enforce the aforementioned limitation on movement.""   https://web.archive.org/web/20200709095702/https://www.garda.com/crisis24/news-alerts/325896/algeria-government-implements-lockdown-and-curfew-in-blida-and-algiers-march-23-update-7"
Algeria,DZA,20200330,20200423,C4: Restrictions on gatherings,4,0,"""On Monday, March 23, President Abdelmadjid Tebboune announced a full lockdown for the Wilayat of Blida and a partial lockdown for the capital Algiers amid the coronavirus (COVID-19) pandemic. In Blida, residents are to remain home for ten days, with few exceptions, all of which must be cleared by authorities. Checkpoints will be placed in the four corners of the Wilayat and no one may leave or enter Blida. In Algiers, a curfew has been implemented from 19:00 to 07:00 (local time), and gatherings greater than two people are prohibited. Food stores are allowed to remain open in rotation, though crowds must be avoided in the shops. The military is to be dispatched to both Algiers and Blida in order to enforce the aforementioned limitation on movement."" -- https://web.archive.org/web/20200509010938/https://www.garda.com/crisis24/news-alerts/325896/algeria-government-implements-lockdown-and-curfew-in-blida-and-algiers-march-23-update-7"
Algeria,DZA,20200404,20200603,E2: Debt/contract relief,1,,"The general direction of the taxes (DGI) indicated, in a press release made public this April 04, a series of urgent measures in order to bring facilities to the Algerian companies in financial difficulties following the quasi-total stop of the economic activity in the country. This eases the burden on businesses, tax measures allowing them to extend the payment of their taxes until the end of confinement .    Extensions of payments, unpaid debts, deadlines for credit, cancellation of penalties. The measures decided are applicable for a period of 6 months from 31 March 2020. and the declaration and payments of income taxes for individuals and enterprises have been postponed, except for large enterprises.     https://web.archive.org/web/20200528103719/https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19  https://web.archive.org/web/20200528113302/https://home.kpmg/xx/en/home/insights/2020/04/algeria-tax-developments-in-response-to-covid-19.html  https://web.archive.org/web/20200528113432/https://www.cliffordchance.com/content/dam/cliffordchance/briefings/2020/04/coronavirus-governement-financial-aid-to-business-an-african-guide.pdf  https://web.archive.org/web/20200528113532/https://www.dzairdaily.com/algerie-pauvrete-confinement-coronavirus-crise-economique-2020/  https://web.archive.org/web/20200528113637/https://www.dzairdaily.com/impots-algerie-nouvelle-mesure-entreprise-coronavirus-confinement/  "
Algeria,DZA,20200413,20200613,E1: Income support,1,0,"The President of the Republic, Abdelmadjid Tebboune; decided to pay a solidarity allowance to needy families affected by the containment measures linked to the Coronavirus Covid-19; and to the needy, announced on Monday April 13. Decided to grant a solidarity allowance in the amount of ten thousand [10,000 DA] dinars per family. ""  Says this is “as well as those who previously received the envelope of 6,000 DA; for solidarity operations for the month of Ramadan. “ but unable to find any evidence for this.  On April 13th 2020 10000 DZD-Algeria (Algerian Dinar) = 78.55 USD (US$)  This is a flat sum so coded as 1    Coded as formal due to this: “While the government is to be commended for its efforts to aid businesses, supporting large swathes of the population is challenging as approximately 50% of the workforce operate in the informal economy. Weak administrative capacity and insufficient data to implement cash transfers makes the planned ‘solidarity allowance’ of 10,000 dinars ($80) for Ramadan difficult to allocate to those who most need it (especially those in the informal sector). Families, communities, and religious organisations continue to be a social safety net” (From Chatham House 6th May)    https://web.archive.org/web/20200528105629/https://www.dzairdaily.com/algerie-aide-10000-dinars-familles-necessiteuses-confinement-coronavirus/  https://web.archive.org/web/20200528105719/https://www.uclga.org/news/covid-19-african-local-and-regional-governments-on-the-front-line/  https://web.archive.org/web/20200528112401/https://www.chathamhouse.org/expert/comment/algeria-s-perfect-storm-covid-19-and-its-fallout"
Algeria,DZA,20200414,,H1: Public information campaigns,2,1,"Government communication on covid-19 appears to have been forthcoming: https://web.archive.org/save/http://www.premier-ministre.gov.dz/fr/mediatheque/videos/pm-djerad-30-03-2020.html"
Algeria,DZA,20200423,20200423,H6: Facial Coverings,3,1,"The wearing of facemasks became mandatory on 23 May in all public spaces, including when using public transport, and within private cars and taxis.    Since Al Eid-Fitr started on May 23, recoded start date to May 23.  https://web.archive.org/web/20201017141408/https://www.africanews.com/2020/05/19/covid-19-algeria-imposes-wearing-of-masks/  https://web.archive.org/web/20200910153722/https://www.gov.uk/foreign-travel-advice/algeria/coronavirus"
Algeria,DZA,20200424,20201021,C2: Workplace closing,2,1,"With Ramadan starting, the government announced lifting the total lockdown in Blida. Several wilayas continue to have daily curfew : https://web.archive.org/web/20200509005421/https://www.observalgerie.com/covid-19-en-algerie-le-confinement-sera-prolonge-au-dela-du-29-avril/2020/"
